Customer,Membertype,redeem,TOS,churn,coffee,seasoned,spicy,sour,dessert
10100008779,1,0,24110,1,0,4,2.4,1.69,1.7
10100011914,1,0,34316,1,1,3,2,2,2
10100016038,1,0,11082,0,1,3,3,2,3
10100026458,1,0,142748,1,2,4,2,1,1
10100027035,1,0,142753,1,1,2,4,2,2
10100036366,1,0,7085,0,1,4,2,2,3
10100058196,1,0,26340,1,1,5,3,1,2
10100083343,1,0,6,1,0,3,4,2,2
10100090504,1,0,19462,1,2,2,3,1,2
10100092534,1,0,32744,1,0,4,2,2,2
10100094597,1,0,4658,1,0,4,3,2,2
10100107985,1,0,28477,1,1,3,4,2,1
10100111581,1,0,112,1,2,4,3,2,3
10100115038,1,0,110590,1,1,3,3,2,1
10100117042,1,0,316309,0,0,3,1,1,1
10100137040,1,0,1111,0,1,3,2,3,1
10100148864,1,0,315652,1,0,2,2,1,2
10100168557,1,0,16586,0,1,2,3,1,2
10100171114,2,0,67593,1,1,3,2,2,2
10100173797,1,0,1107,1,1,2,2,1,1
10100191252,1,0,6939,1,1,3,2,2,1
10100201119,1,0,2396,0,1,4,1,2,2
10100210912,1,0,7566,1,0,3,2,1,2
10100212306,1,0,12231,1,0,2,2,1,1
10100213213,1,1,6510,1,0,3,2,1,2
10100217495,1,0,1610,1,1,3,4,2,1
10100221968,1,0,89425,0,0,1,2,2,2
10100222776,1,0,9752,0,0,3,1,1,2
10100223154,1,1,23315,1,1,2,3,2,1
10100240273,1,0,108524,0,0,1,3,1,1
10100250207,1,0,2385,1,0,2,3,2,3
10100259679,1,0,32549,1,0,3,2,1,2
10100276426,1,0,8384,1,1,3,3,1,1
10100288074,1,0,193219,1,0,3,3,2,1
10100288355,1,0,31228,1,0,3,3,2,3
10100310159,1,0,5248,1,1,1,1,3,1
10100316008,1,1,6609,1,1,4,4,2,2
10100317865,1,0,18936,1,0,2,2,2,2
10100323061,1,0,2706,0,0,1,3,2,2
10100339695,1,0,7779,1,1,3,4,2,2
10100341451,2,0,5969,1,2,1,1,1,1
10100352367,1,1,248018,1,0,4,3,1,1
10100354496,1,0,4170,0,1,3,4,1,1
10100359966,1,0,24813,1,0,4,2,2,2
10100362549,1,0,8221,1,0,2,2,1,2
10100365005,1,0,8550,1,0,2,3,2,1
10100367076,1,0,9497,1,2,3,3,2,3
10100370914,1,0,26722,0,1,2,1,1,2
10100371821,1,0,23647,0,0,2.77,2.4,1.69,1.7
10100381234,1,0,13621,1,0,3,2,2,1
10100396059,1,0,13074,0,1,3,4,1,2
10100412302,1,0,55326,1,0,4,3,3,2
10100421485,1,0,243148,0,0,3,3,2,2
10100423093,1,1,11201,1,0,3,2,2,3
10100426096,1,1,245,1,0,3,2,1,1
10100441244,1,0,12953,1,0,3,2,1,1
10100454197,1,1,29093,1,2,2,2,1,2
10100458271,1,1,32687,1,0,2,2,1,2
10100484699,1,0,13981,1,1,2,3,2,1
10100485241,1,0,16760,1,1,2,2,1,1
